UMAP1,UMAP2,UMAP3,label,bias_level
1.7488183,10.963609,6.243981,3,full_0.99
1.5200588,10.917533,6.3701334,3,full_0.99
4.4027386,3.469218,2.7214818,1,full_0.99
0.6911452,-3.5483992,4.351839,6,full_0.99
-5.5265274,14.96548,2.0135474,7,full_0.99
16.921124,0.10601508,4.7535734,9,full_0.99
-5.506276,14.942994,1.9659567,7,full_0.99
4.193068,5.2599783,4.375058,0,full_0.99
12.161824,9.223838,7.9240885,5,full_0.99
2.266047,10.002115,5.5748587,3,full_0.99
-5.4625654,14.905573,2.067004,7,full_0.99
13.251653,10.180007,-1.247463,8,full_0.99
1.5249524,10.9766655,6.4021335,3,full_0.99
-0.15525706,-3.6933393,5.742391,6,full_0.99
4.1027784,5.2408094,4.26359,0,full_0.99
-6.0690513,15.439695,0.9973606,7,full_0.99
4.7617917,3.6274798,3.5165827,1,full_0.99
1.4265531,11.86354,6.496711,3,full_0.99
1.2823654,11.643784,6.064202,3,full_0.99
-5.819702,15.235441,2.1450768,7,full_0.99
4.450223,5.7711787,4.3969045,0,full_0.99
16.591545,0.7603097,4.5826855,9,full_0.99
4.8210588,3.5941775,3.434278,1,full_0.99
11.586987,9.254771,7.4211884,5,full_0.99
4.269851,0.85999054,2.3118997,4,full_0.99
13.378258,10.090196,-1.2368265,8,full_0.99
11.061636,9.223001,6.96308,5,full_0.99
-6.312307,15.658691,1.5710309,7,full_0.99
13.632035,10.202487,-0.81278074,8,full_0.99
4.676995,3.5717711,2.8147686,1,full_0.99
16.374302,0.979438,4.879171,9,full_0.99
1.9548407,-3.080816,3.1818771,6,full_0.99
4.6613064,4.237962,4.2974353,1,full_0.99
13.151996,10.29589,-1.2234474,8,full_0.99
13.495507,10.426308,-0.89887637,8,full_0.99
4.5483427,3.449366,2.757043,1,full_0.99
12.00239,9.21303,7.7831435,5,full_0.99
1.4965305,10.417,3.4904053,2,full_0.99
4.161075,4.1519704,5.2528863,4,full_0.99
3.5507183,3.29276,5.0285997,4,full_0.99
0.8416286,-4.0869117,3.8134694,6,full_0.99
5.350252,3.3799624,4.233757,4,full_0.99
4.682283,4.561261,4.02234,1,full_0.99
-5.670971,15.047833,2.3535032,7,full_0.99
-0.45061433,-3.8034768,5.6370506,6,full_0.99
11.589328,9.240612,7.419086,5,full_0.99
4.19446,4.488512,3.903541,1,full_0.99
4.302476,5.892694,4.524226,0,full_0.99
1.5141072,10.344933,5.755173,3,full_0.99
13.270381,9.98219,-1.1726805,8,full_0.99
1.5700784,10.369907,5.7460995,3,full_0.99
17.528833,-0.59474415,4.8464894,9,full_0.99
1.6266577,10.332141,5.8101006,3,full_0.99
13.366043,10.033259,-1.085139,8,full_0.99
1.2567048,12.085559,6.3497753,3,full_0.99
-0.22615263,-3.9140062,5.049316,6,full_0.99
1.0071363,10.572961,2.5623796,2,full_0.99
-0.06622934,-3.7680244,5.241884,6,full_0.99
4.480104,3.9298615,3.4378228,1,full_0.99
4.215902,4.168537,5.2550397,4,full_0.99
1.5301251,10.28224,5.730625,3,full_0.99
-6.095287,15.469253,0.9558609,7,full_0.99
12.293573,9.546789,9.336205,5,full_0.99
16.54433,0.45153856,4.8579783,9,full_0.99
4.4507985,4.385351,3.8527653,1,full_0.99
4.601494,3.7732012,2.9839761,1,full_0.99
16.43498,0.66850793,4.4405437,9,full_0.99
13.88603,10.356078,-1.2033886,8,full_0.99
13.572646,10.215342,-1.2841297,8,full_0.99
10.398835,9.023002,6.4631615,5,full_0.99
4.86689,1.4603076,3.5748885,4,full_0.99
0.8472083,-4.1185274,3.7930741,6,full_0.99
17.380295,-0.4015212,4.8485594,9,full_0.99
1.3283818,11.565793,6.052329,3,full_0.99
4.7427197,4.349497,4.142433,1,full_0.99
-6.100105,15.413532,1.6779217,7,full_0.99
13.85883,10.138149,-1.2328018,8,full_0.99
1.3284525,10.496835,3.2128122,2,full_0.99
-5.6143026,15.112006,1.712374,7,full_0.99
1.2753171,10.504259,3.1170344,2,full_0.99
4.0810795,5.77774,4.750913,0,full_0.99
-0.16884677,-3.8753576,5.033447,6,full_0.99
17.105694,0.20301558,4.787709,9,full_0.99
17.16568,0.13572252,4.8299227,9,full_0.99
4.1040883,5.728274,4.586103,0,full_0.99
0.5157148,10.430778,6.423821,3,full_0.99
5.320193,3.3993661,4.220269,4,full_0.99
3.521437,3.2590241,5.025738,4,full_0.99
4.3393793,3.9898713,3.4358974,1,full_0.99
2.0215602,-3.0192037,3.1182897,6,full_0.99
13.644414,10.0950165,-1.3700109,8,full_0.99
0.974654,-4.2570095,3.6270814,6,full_0.99
11.981906,9.231548,7.7611046,5,full_0.99
4.078559,5.156446,4.6664577,0,full_0.99
3.9125059,4.2890987,4.296509,1,full_0.99
4.065341,5.057027,4.3032537,0,full_0.99
1.4464085,10.349503,5.864596,3,full_0.99
1.5081242,9.969128,4.7122188,2,full_0.99
1.0456965,-4.336416,3.547463,6,full_0.99
3.8070378,5.037493,4.3857903,0,full_0.99
4.5557833,0.44540012,1.9777576,4,full_0.99
-0.22867577,-3.9150786,5.057375,6,full_0.99
2.204662,9.767592,4.528633,2,full_0.99
-6.102887,15.217236,1.6245987,7,full_0.99
13.811373,9.923258,-1.2611222,8,full_0.99
4.7843843,3.429127,5.387585,4,full_0.99
4.165408,5.1269135,4.6645966,0,full_0.99
1.4942514,10.008164,4.706821,2,full_0.99
1.5414181,10.358483,5.7445664,3,full_0.99
1.5710562,11.072554,6.463589,3,full_0.99
0.15311629,-3.8732617,4.731516,6,full_0.99
0.9192351,-4.185274,3.6952176,6,full_0.99
16.87825,0.0014366494,4.8382196,9,full_0.99
4.4574885,0.7539466,2.0346103,4,full_0.99
4.2370377,5.8088627,4.1557426,0,full_0.99
4.1793337,5.459783,4.6172357,0,full_0.99
4.731064,0.35021067,1.8836237,4,full_0.99
11.542894,9.230832,7.3780084,5,full_0.99
4.8258276,4.04122,3.9668446,1,full_0.99
13.351385,10.168145,-0.87146807,8,full_0.99
16.820932,0.81540513,4.7085366,9,full_0.99
1.5173945,9.936003,4.66295,2,full_0.99
11.982963,9.226661,7.763805,5,full_0.99
13.425384,10.653811,-1.2303033,8,full_0.99
5.3734283,3.3210413,4.274757,4,full_0.99
-5.6084476,15.098285,1.6474459,7,full_0.99
4.8997355,1.4070115,3.6071293,4,full_0.99
4.022466,4.7061906,4.0493984,1,full_0.99
16.61987,0.12864809,5.208564,9,full_0.99
10.453483,9.050884,6.5129213,5,full_0.99
4.0326977,3.9508586,4.051018,1,full_0.99
16.708166,0.48095918,4.746726,9,full_0.99
4.93855,1.4319047,3.6413548,4,full_0.99
0.6775471,-3.5486827,4.3618793,6,full_0.99
0.548802,10.483793,6.396512,3,full_0.99
4.3218284,3.2625232,3.1316342,1,full_0.99
4.8046618,3.5714328,5.158686,1,full_0.99
0.004073972,-3.6011844,5.435659,6,full_0.99
4.241387,0.86468637,2.338058,4,full_0.99
0.55516785,10.44873,6.3922186,3,full_0.99
4.353303,4.0870156,4.890156,4,full_0.99
1.3114249,12.027076,6.413571,3,full_0.99
1.9546156,-3.082649,3.1825068,6,full_0.99
1.9810266,-3.0434177,3.1722589,0,full_0.99
0.82949466,-4.089965,3.814981,6,full_0.99
17.544168,-0.60036016,4.851097,9,full_0.99
4.661811,0.3749041,1.8518524,4,full_0.99
17.281897,-0.15969035,4.805829,9,full_0.99
1.2815152,10.517526,3.132795,2,full_0.99
-6.0341163,15.302001,1.6018157,7,full_0.99
4.567027,3.3983834,2.9268355,1,full_0.99
3.7977138,5.5814457,4.686424,0,full_0.99
-5.6990843,15.292875,1.2731396,7,full_0.99
13.3541975,9.984346,-0.9922542,8,full_0.99
16.544275,0.84272265,4.5674133,9,full_0.99
3.929341,5.091258,4.062868,0,full_0.99
0.9343376,-3.6779683,4.0197015,6,full_0.99
10.550588,9.16595,6.5658383,5,full_0.99
10.402205,9.031942,6.473286,5,full_0.99
1.3223274,12.128313,6.2747965,3,full_0.99
4.308636,3.200667,3.3910177,1,full_0.99
16.742128,0.44905007,4.8084254,9,full_0.99
16.459415,0.34941137,5.018961,9,full_0.99
-0.2677142,-3.9375865,5.074816,6,full_0.99
5.3428817,2.6415951,3.7898946,4,full_0.99
1.9066845,-3.1282914,3.231136,6,full_0.99
11.094974,9.236922,6.991644,5,full_0.99
4.2552476,3.7838128,5.0817657,4,full_0.99
4.5263267,3.8030903,3.9600232,1,full_0.99
13.769355,10.362778,-1.0882899,8,full_0.99
2.4198046,9.674221,4.643536,2,full_0.99
4.199688,5.1363797,4.4630733,0,full_0.99
13.4151125,10.611475,-1.207761,8,full_0.99
4.377215,5.841073,4.4157615,0,full_0.99
16.384153,0.43416888,4.862472,9,full_0.99
2.1970055,10.0512495,5.7184258,3,full_0.99
4.3290544,1.250307,2.5104635,4,full_0.99
13.682646,9.974272,-1.4136618,8,full_0.99
13.360035,10.113608,-1.1324064,8,full_0.99
0.9442929,-4.2109127,3.6776743,6,full_0.99
5.352488,3.3859148,4.2472615,4,full_0.99
0.1852344,-3.8233824,4.7361665,6,full_0.99
1.5354712,11.104568,6.5066,3,full_0.99
1.3162926,10.568304,3.1756897,2,full_0.99
-6.0263844,15.427168,1.0115788,7,full_0.99
1.0536036,10.563686,2.652214,2,full_0.99
4.2237206,0.8772374,2.3428967,4,full_0.99
13.748627,10.305872,-1.0127466,8,full_0.99
16.71089,0.42992365,5.113515,9,full_0.99
13.538239,10.163133,-1.0197178,8,full_0.99
2.3502338,9.658756,4.651686,2,full_0.99
17.484903,-0.490544,4.817986,9,full_0.99
16.462545,1.0248113,4.904019,9,full_0.99
4.076267,4.5017204,3.9150133,1,full_0.99
12.136398,9.240457,7.8969545,5,full_0.99
17.270706,-0.25076285,4.884764,9,full_0.99
16.599854,0.70593643,4.712905,9,full_0.99
5.3532176,3.3722928,4.2278485,4,full_0.99
4.2320733,5.2563047,4.3777475,0,full_0.99
16.427876,0.91894615,4.93619,9,full_0.99
1.43015,11.852122,6.479606,3,full_0.99
4.185964,5.24935,4.439653,0,full_0.99
13.581123,9.796344,-0.9590397,8,full_0.99
4.553752,3.4802964,2.7787027,1,full_0.99
-0.3016143,-3.8941815,5.1453943,6,full_0.99
4.415719,5.3938193,4.4004827,0,full_0.99
16.920214,0.64006394,4.751175,9,full_0.99
0.8854617,-3.6897624,4.0552306,6,full_0.99
0.5411318,10.468935,6.4013457,3,full_0.99
4.1883345,0.8982527,2.3946571,4,full_0.99
17.140839,-0.019882726,4.6707244,9,full_0.99
16.781195,0.86676085,4.770633,9,full_0.99
0.66719925,10.446409,6.3343945,3,full_0.99
12.97733,10.15782,-1.1601561,8,full_0.99
13.899981,10.165965,-1.0184443,8,full_0.99
1.2748854,12.039916,6.4200206,3,full_0.99
4.2529855,0.80724484,2.3057895,4,full_0.99
1.8252248,10.211467,4.309612,2,full_0.99
4.2785954,0.83675116,2.3033617,4,full_0.99
13.61367,9.764181,-1.1115831,8,full_0.99
4.7435017,3.7211385,3.3833892,1,full_0.99
1.5365393,11.12581,6.5217776,3,full_0.99
11.613762,9.24433,7.439759,5,full_0.99
4.6507983,3.4834857,5.3905325,4,full_0.99
1.4774561,10.453585,3.437482,2,full_0.99
0.8648932,-4.13793,3.77456,6,full_0.99
-6.293955,15.750967,1.5124615,7,full_0.99
0.9835994,-4.2651095,3.6219451,6,full_0.99
13.616604,9.939223,-0.8532237,8,full_0.99
13.682841,10.0727625,-0.66682523,8,full_0.99
4.8474407,3.3411458,5.4337726,4,full_0.99
16.717346,0.20329724,5.246168,9,full_0.99
4.8853607,3.3366654,5.41166,4,full_0.99
13.237205,10.305126,-1.2737331,8,full_0.99
10.592227,9.200868,6.60138,5,full_0.99
5.418297,7.3304286,4.7636366,5,full_0.99
12.233387,9.18714,7.9918175,5,full_0.99
0.85519165,10.541822,2.1969423,2,full_0.99
1.1289809,10.568482,2.7488353,2,full_0.99
4.5348945,4.3616524,3.8420455,1,full_0.99
4.4316487,4.5537496,3.968905,1,full_0.99
16.673384,0.4362551,5.1236525,9,full_0.99
13.862809,9.981934,-1.199213,8,full_0.99
-0.21488659,-3.7522538,5.7441535,6,full_0.99
5.3748097,2.6453981,3.801734,4,full_0.99
4.116178,4.9091682,4.097243,1,full_0.99
1.9265954,10.223981,4.3415465,2,full_0.99
4.5476766,5.517918,4.3297377,0,full_0.99
4.013956,5.389413,4.4186077,0,full_0.99
4.3004165,0.77828515,2.259986,4,full_0.99
2.0019279,10.124024,4.354376,2,full_0.99
4.2749963,4.3083053,4.724117,4,full_0.99
-5.6828904,15.109629,2.2911892,7,full_0.99
17.550495,-0.5887281,4.862985,9,full_0.99
4.5547175,3.4206302,2.8497815,1,full_0.99
1.505207,10.393882,3.4897525,2,full_0.99
1.1094477,10.579311,2.7211258,2,full_0.99
0.8032885,10.519227,2.2181292,2,full_0.99
10.999423,9.256529,6.901442,5,full_0.99
5.3499646,3.3843646,4.2463727,4,full_0.99
1.4154629,11.89065,6.48301,3,full_0.99
4.1161456,5.62937,4.181982,0,full_0.99
3.8716168,5.359928,4.7637534,0,full_0.99
4.4838905,4.4230533,3.9103224,1,full_0.99
12.296678,9.545946,9.347929,5,full_0.99
-6.065693,15.463431,1.0478373,7,full_0.99
-6.2635994,15.664593,1.4718041,7,full_0.99
1.4615489,10.376146,3.4142787,2,full_0.99
4.10193,4.149597,3.9641502,1,full_0.99
2.2157202,9.9084835,4.8631268,2,full_0.99
16.873543,0.7979634,4.855839,9,full_0.99
16.494009,0.8050562,4.523426,9,full_0.99
0.9275883,10.608655,2.3272197,2,full_0.99
11.297287,9.179557,7.1642175,5,full_0.99
1.4884791,10.372672,5.8012714,3,full_0.99
1.7290403,9.926027,4.6497912,2,full_0.99
4.1705065,4.1887403,5.2117734,4,full_0.99
0.055371586,-3.5511742,5.3414593,6,full_0.99
17.544626,-0.58324564,4.785888,9,full_0.99
4.033208,5.576737,4.1357656,0,full_0.99
4.66363,0.30479085,1.9018224,4,full_0.99
1.9834683,-3.0537488,3.1551886,6,full_0.99
5.353251,2.6514363,3.809282,4,full_0.99
17.215378,0.03192814,4.8677354,9,full_0.99
13.547575,10.074752,-0.6729263,8,full_0.99
3.7788405,4.9604278,4.597633,0,full_0.99
17.48176,-0.5575301,4.7949066,9,full_0.99
4.5222073,0.74468094,1.9606906,4,full_0.99
-5.946702,15.651027,1.6325933,7,full_0.99
2.2607994,9.581323,4.677893,2,full_0.99
1.2294853,10.519062,3.03109,2,full_0.99
1.5157715,10.9901,6.2876644,3,full_0.99
2.2435682,10.064711,5.6349564,3,full_0.99
2.230769,10.109798,5.558538,3,full_0.99
5.332155,2.6162543,3.784263,4,full_0.99
4.388408,3.361224,2.833888,1,full_0.99
3.84615,5.1787353,4.0203757,0,full_0.99
16.644571,0.93771064,4.706056,9,full_0.99
3.8770196,5.048445,4.0746927,0,full_0.99
4.484864,3.3831909,2.8159463,1,full_0.99
3.850439,5.3992615,4.564731,0,full_0.99
0.9822572,-4.246786,3.633656,6,full_0.99
4.5756335,4.334633,4.3775477,1,full_0.99
16.542028,0.8122149,5.14075,9,full_0.99
17.526451,-0.56312436,4.8240714,9,full_0.99
2.2721643,10.080841,5.618625,3,full_0.99
0.10605408,-3.8242648,4.8495197,6,full_0.99
-0.26961073,-3.9321642,5.0509696,6,full_0.99
4.9708953,6.7940593,4.6857395,5,full_0.99
0.65861785,10.356233,6.3075976,3,full_0.99
13.795372,10.004431,-1.1327505,8,full_0.99
4.9672046,6.7701797,4.6856723,5,full_0.99
-6.2146115,15.5738,1.1547846,7,full_0.99
4.1395864,5.2910132,4.447678,0,full_0.99
1.9976594,-3.0423818,3.142269,6,full_0.99
4.4900336,5.7249146,4.4685097,0,full_0.99
1.3256007,11.497546,6.037953,3,full_0.99
2.2580519,10.053982,5.680762,3,full_0.99
12.263804,9.578616,9.38237,5,full_0.99
16.470535,0.88833976,4.557026,9,full_0.99
10.901808,9.131243,6.8250804,5,full_0.99
13.379224,10.7423725,-1.1855898,8,full_0.99
16.522842,1.0061232,4.89073,9,full_0.99
13.8579235,9.980841,-1.2231764,8,full_0.99
0.5571247,-3.59072,4.488782,6,full_0.99
4.2606297,5.543168,4.1996846,0,full_0.99
0.10046887,-3.636301,5.232415,6,full_0.99
17.129427,0.027691852,4.991565,9,full_0.99
12.17794,9.1986885,7.940436,5,full_0.99
4.6062813,4.0234375,3.9598682,1,full_0.99
4.587772,5.483148,4.5655365,0,full_0.99
4.826181,3.3617105,5.4591393,4,full_0.99
16.651127,0.8442051,4.5928435,9,full_0.99
17.00337,0.27390173,4.752523,9,full_0.99
16.340076,0.9070455,5.0204782,9,full_0.99
0.17038363,-3.8655152,4.7303267,6,full_0.99
1.763777,10.049117,4.55565,2,full_0.99
4.6820874,4.751405,4.146027,1,full_0.99
16.468863,0.9194334,4.6332965,9,full_0.99
1.2896837,11.645198,6.067399,3,full_0.99
-6.0431304,15.334711,1.1126714,7,full_0.99
4.1906557,4.092787,5.229724,4,full_0.99
-6.336476,15.720481,1.5298257,7,full_0.99
4.171654,5.7617164,4.7039475,0,full_0.99
3.7600896,4.954684,4.5419765,0,full_0.99
13.542574,10.524062,-0.8916064,8,full_0.99
-5.495879,14.928065,2.1163106,7,full_0.99
0.64601725,-3.5760074,4.403398,6,full_0.99
4.4057946,3.9065228,3.303971,1,full_0.99
-6.234691,15.277168,1.147975,7,full_0.99
-0.18498255,-3.5592954,5.651846,6,full_0.99
4.0602045,3.930144,4.097687,1,full_0.99
4.4129753,3.261819,2.972489,1,full_0.99
4.555577,3.4802144,3.0964918,1,full_0.99
3.5754921,3.318334,4.9867587,4,full_0.99
13.016678,10.160137,-1.1833801,8,full_0.99
4.361231,3.4632852,2.9149547,1,full_0.99
-6.160906,15.475873,1.6269053,7,full_0.99
-0.11551686,-3.6555183,5.750841,6,full_0.99
-5.7665167,15.208535,1.5077662,7,full_0.99
1.3480481,10.5019865,3.2832196,2,full_0.99
4.092811,4.242245,5.25373,4,full_0.99
4.836767,3.3403435,5.4719667,4,full_0.99
2.0334833,10.008319,4.697116,2,full_0.99
2.258217,9.89997,4.792721,2,full_0.99
4.446765,4.606857,4.026697,1,full_0.99
-0.4620446,-3.8068304,5.6401224,6,full_0.99
4.8335056,3.319595,5.4982476,4,full_0.99
13.860239,10.007603,-1.2803117,8,full_0.99
4.033204,5.7390895,4.6781917,0,full_0.99
4.553725,3.4139476,2.7377753,1,full_0.99
13.551997,10.374848,-1.0923051,8,full_0.99
13.654006,10.5319,-1.231503,8,full_0.99
4.817057,3.9120367,3.9099503,1,full_0.99
4.5584664,3.4846194,2.8013384,1,full_0.99
-5.882822,15.613929,1.6541135,7,full_0.99
0.9321474,10.594461,2.3552508,2,full_0.99
16.549166,0.7545541,4.612484,9,full_0.99
-5.989923,15.645295,1.5681272,7,full_0.99
1.4265203,10.466244,3.373056,2,full_0.99
4.1996665,0.8493254,2.3730233,4,full_0.99
16.60812,0.5782533,4.4837947,9,full_0.99
-5.717043,15.105393,2.2323055,7,full_0.99
1.9572843,-3.0764458,3.1809306,6,full_0.99
1.3066852,12.026299,6.3597836,3,full_0.99
12.1947,9.222781,7.924125,5,full_0.99
4.3343,3.3380532,2.9870358,1,full_0.99
4.2145767,0.85051936,2.3590448,4,full_0.99
13.669214,9.80628,-1.0946102,8,full_0.99
17.226492,-0.120920025,4.7472825,9,full_0.99
-6.1892457,15.69063,1.3219635,7,full_0.99
16.696815,0.50177723,5.084421,9,full_0.99
16.458057,0.40413326,5.1538568,9,full_0.99
16.934412,0.16843358,5.008676,9,full_0.99
-0.42808524,-3.7789438,5.5210633,6,full_0.99
4.3563514,3.7012017,5.119636,4,full_0.99
3.7212086,5.4192038,4.677881,0,full_0.99
0.87550277,-3.7533944,4.010592,6,full_0.99
4.9623656,6.8231554,4.671568,5,full_0.99
0.7863249,10.526928,2.186735,2,full_0.99
0.792861,10.516275,2.2555182,2,full_0.99
13.792147,9.902265,-1.2433631,8,full_0.99
-5.8097754,15.544336,1.7245059,7,full_0.99
4.5700464,0.6238437,1.9267447,4,full_0.99
3.854906,5.3454227,4.0089574,0,full_0.99
12.120856,9.275206,7.878484,5,full_0.99
5.3780746,3.3241227,4.185487,4,full_0.99
0.8231029,-4.080945,3.827069,6,full_0.99
16.521765,0.7352124,4.571436,9,full_0.99
-0.2301813,-3.7271566,5.6744413,6,full_0.99
1.5666901,10.939085,6.368876,3,full_0.99
10.464373,9.072647,6.520675,5,full_0.99
4.7097135,3.4382923,5.4773126,4,full_0.99
3.531452,3.2881494,4.9935517,4,full_0.99
4.2259884,5.742442,4.1527486,0,full_0.99
4.4087524,4.180825,4.7279897,4,full_0.99
-5.719673,15.1151905,2.3138475,7,full_0.99
4.400243,4.8760633,4.1357427,1,full_0.99
13.440818,10.486268,-1.2781117,8,full_0.99
16.33918,0.33063194,4.970655,9,full_0.99
5.359936,7.2816772,4.7392116,5,full_0.99
4.684612,0.2808017,1.8188686,4,full_0.99
16.477858,0.3595946,4.7558284,9,full_0.99
4.312934,5.800387,4.3778043,0,full_0.99
4.8297567,3.4860284,3.3813932,1,full_0.99
-5.5407395,15.044943,1.7378545,7,full_0.99
4.8730226,3.9367378,3.882359,1,full_0.99
-6.26528,15.58458,1.2697653,7,full_0.99
-0.23411708,-3.6410263,5.553418,6,full_0.99
-6.3228455,15.692716,1.6060264,7,full_0.99
5.4054503,7.3160343,4.762355,5,full_0.99
13.375181,10.765724,-1.1862721,8,full_0.99
4.545245,0.64767766,1.9513063,4,full_0.99
2.1655579,9.961774,5.756337,3,full_0.99
13.3619795,9.925404,-1.0036795,8,full_0.99
0.9513608,10.583797,2.3714345,2,full_0.99
-6.1635437,15.797461,1.5912148,7,full_0.99
4.8671327,3.9425123,3.9472132,1,full_0.99
0.89839685,-4.1735487,3.7132342,6,full_0.99
13.255068,10.199835,-1.3264784,8,full_0.99
4.2334123,3.8642213,3.4778085,1,full_0.99
4.287608,1.1435786,2.4551973,4,full_0.99
1.5192498,10.384837,5.7815537,3,full_0.99
-5.9569964,15.4312525,1.063364,7,full_0.99
2.3424745,9.792717,4.8038116,2,full_0.99
3.6512725,5.3336,4.681553,0,full_0.99
12.191372,9.1928625,7.943565,5,full_0.99
4.806804,3.387719,5.4309835,4,full_0.99
0.9589098,-4.288754,3.6011887,6,full_0.99
1.8286296,10.891489,6.1247177,3,full_0.99
4.6107163,5.3691783,4.4617496,0,full_0.99
5.3691974,2.6491432,3.807942,4,full_0.99
1.4810126,10.312023,5.8665676,3,full_0.99
-0.23717676,-3.7346034,5.6934013,6,full_0.99
4.5744743,4.4026823,4.2485332,1,full_0.99
1.4964612,11.157579,6.5321536,3,full_0.99
1.5639759,11.055002,6.498417,3,full_0.99
4.6503587,5.3428354,4.5257034,0,full_0.99
4.6567016,3.608889,2.795869,1,full_0.99
-0.116744645,-3.7609186,5.6283402,6,full_0.99
4.7532616,3.7555883,3.6623347,1,full_0.99
4.7492256,3.4807045,3.3837397,1,full_0.99
17.521416,-0.53952307,4.830543,9,full_0.99
4.9782605,6.7897477,4.668291,5,full_0.99
-0.50624543,-3.865394,5.6755614,6,full_0.99
-6.230328,15.656193,1.4342142,7,full_0.99
4.53392,0.7105402,1.9506222,4,full_0.99
13.957684,10.063123,-1.2621582,8,full_0.99
4.238894,3.773323,5.035372,4,full_0.99
5.2916064,2.6075335,3.722085,4,full_0.99
4.515516,0.7990441,1.955603,4,full_0.99
2.2246342,9.616061,4.6700764,2,full_0.99
4.5157766,0.71314085,1.966602,4,full_0.99
0.41447836,10.525698,6.3340535,7,full_0.99
4.287079,0.79442674,2.2745328,4,full_0.99
12.332022,9.504724,9.282998,5,full_0.99
4.914475,1.422701,3.6197038,4,full_0.99
16.822641,0.21531989,4.765973,9,full_0.99
4.483193,4.294745,3.9032872,1,full_0.99
-5.8151565,15.501043,1.5015304,7,full_0.99
0.80963504,10.555283,2.1975849,2,full_0.99
17.12611,-0.18335746,5.0287704,9,full_0.99
4.6481347,4.940508,4.267682,1,full_0.99
1.5283617,10.96093,6.401682,3,full_0.99
12.225771,9.172962,7.976762,5,full_0.99
13.585227,10.39305,-1.2426337,8,full_0.99
4.635298,3.4429538,2.90149,1,full_0.99
-6.3138075,15.687234,1.555067,7,full_0.99
16.431221,0.39827818,4.776507,9,full_0.99
-0.07867379,-3.7325625,5.347747,6,full_0.99
4.5612993,4.3427286,3.9101465,1,full_0.99
4.037328,4.504359,3.9790006,1,full_0.99
13.617475,10.6764,-1.1876408,8,full_0.99
0.9074779,-3.6988258,4.002916,6,full_0.99
1.6124474,9.95327,4.6087356,2,full_0.99
4.4107537,4.4174113,3.841239,1,full_0.99
1.276473,12.054735,6.3489385,3,full_0.99
-6.299881,15.566669,1.3693471,7,full_0.99
